entry_name,found_name,accepted_name,base_de_dados,familia,pais,year,month,day,lat,long,Coord_SPL_Mun
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. F. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1938,1,16,-30.03,-51.23,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. F. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1946,10,16,-30.03,-51.23,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. F. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1948,11,20,-30.03,-51.23,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,,,,-10.96,-45.02,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,,,,-11.93,-37.67,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,,,,-17.74,-63.2,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1910,4,22,-27.32,-55.53,coord_mun
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1933,8,11,6.8,-58.16,coord_mun
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1944,8,1,8.13,-63.55,coord_mun
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1956,1,17,6.8,-58.16,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1961,2,1,7.61,-61.21,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1963,8,10,3.3,-59.78,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1976,12,6,-10.74,-36.86,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1976,4,1,-11.53,-38.12,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1978,,,-8.29,-35.03,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1978,5,,-8.29,-35.03,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1981,11,27,10.02,-64.22,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1984,6,15,10.33,-67.32,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1985,4,17,-10.92,-37.1,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1988,6,5,0.72,-78.22,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1988,6,7,0.72,-78.25,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1988,9,19,9.07,-69.73,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1989,4,3,-30.08,-51.62,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1989,10,30,5.55,-57.67,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1990,8,,7.67,-62.85,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1991,11,25,-26.02,-56.77,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1991,12,9,-25.5,-57.5,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1993,10,5,-11.35,-37.45,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1994,2,24,-26.37,-57.15,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1995,4,30,-8.4,-35.06,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1995,6,8,-8.29,-35.03,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1995,11,4,-8.4,-35.06,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1995,6,10,2.81,-59.51,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1995,8,12,6.8,-58.16,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1995,8,15,6.5,-57.83,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1996,6,18,-11.81,-37.61,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1996,2,6,-16.01,-67.01,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,1999,4,17,-4.25,-79.5,
Abildgaardia ovata (Burm.f. Kral),Abildgaardia ovata (Burm. Kral),Fimbristylis ovata (Burm.f. J.Kern),SPL,Cyperaceae,,2006,4,18,-10.47,-37.34,
